Bank,Date,USD_buy,USD_sell,EUR_buy,EUR_sell,RUB_buy,RUB_sell,GBP_buy,GBP_sell
Արցախբանկ,"20 Jul, 20:00",475,478,520,528.0,7.35,7.7,616.0,631.0
ՀԱՅԲԻԶՆԵՍԲԱՆԿ ՓԲԸ,"20 Jul, 20:00",474,477,520.10,527.1,7.41,7.67,617.1,629.1
Էյչ-Էս-Բի-Սի Բանկ,"20 Jul, 20:00",473.50,478.50,519,529.0,7.36,7.67,618.5,630.5
Անելիք Բանկ,"20 Jul, 20:00",474,477.50,517,528.0,7.35,7.65,,
Յունիբանկ,"20 Jul, 20:00",473.50,478,519,531.0,7.4,7.8,610.0,640.0
Կոնվերս բանկ,"20 Jul, 20:00",475,478,520,527.0,7.43,7.77,619.0,628.0
Բիբլոս Բանկ Արմենիա,"20 Jul, 20:00",474,478.50,519,530.0,7.38,7.65,615.0,634.0
Արմսվիսբանկ,"20 Jul, 20:00",474.50,477.50,521,528.0,7.42,7.62,620.0,628.0
ԱԿԲԱ-ԿՐԵԴԻՏ ԱԳՐԻԿՈԼ ..,"20 Jul, 20:00",473.50,477.50,519.50,527.5,7.43,7.59,620.0,635.0
Ամերիաբանկ,"20 Jul, 20:00",473.50,477.50,519,529.0,7.37,7.62,621.5,631.5
Արդշինբանկ,"20 Jul, 20:00",474,478,518,530.0,7.35,7.65,615.0,645.0
ՎՏԲ-Հայաստան Բանկ,"20 Jul, 20:00",474,477.50,519,525.5,7.42,7.55,618.0,630.0
ԱՐԱՐԱՏԲԱՆԿ,"20 Jul, 20:00",474,477.50,516,530.0,7.4,7.75,616.0,633.0
Պրոմեթեյ Բանկ,"20 Jul, 20:00",475,477,521,527.0,7.44,7.67,619.0,629.0
ՀԱՅԷԿՈՆՈՄԲԱՆԿ,"20 Jul, 20:00",473.50,477.50,517,527.0,7.43,7.8,616.0,642.0
Ինեկոբանկ,"20 Jul, 20:00",475,477.75,519.50,527.5,7.38,7.6,619.0,633.0
Մելլաթ բանկ,"20 Jul, 20:00",473.50,477.50,519,529.0,,,,
